date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2026-02-20,286386.76,10179.28,296566.04,302743.01,-6176.97,-2.0403
2026-02-23,286386.76,10458.77,296845.52,302743.01,-5897.49,-1.948
2026-02-24,296761.17,0.0,296761.17,302743.01,-5981.84,-1.9759
2026-02-25,296761.17,0.0,296761.17,302743.01,-5981.84,-1.9759
2026-02-26,286761.17,10000.0,296761.17,302743.01,-5981.84,-1.9759
2026-02-27,286761.17,10021.16,296782.33,302743.01,-5960.68,-1.9689
2026-03-02,286761.17,9986.03,296747.2,302743.01,-5995.81,-1.9805
2026-03-03,286761.17,10232.37,296993.54,302743.01,-5749.47,-1.8991
2026-03-04,286761.17,10431.73,297192.9,302743.01,-5550.11,-1.8333
2026-03-05,286761.17,10702.62,297463.78,302743.01,-5279.23,-1.7438
2026-03-06,286761.17,10798.7,297559.86,302743.01,-5183.14,-1.7121
2026-03-09,286761.17,10568.44,297329.61,302743.01,-5413.4,-1.7881
2026-03-10,286761.17,10437.65,297198.82,302743.01,-5544.19,-1.8313
2026-03-11,286761.17,10382.21,297143.37,302743.01,-5599.64,-1.8496
2026-03-12,297073.85,0.0,297073.85,302743.01,-5669.16,-1.8726
